Token,FinalTokenMap
COMORBIDI,COMORBIDITIES
COMORBIDITIES,COMORBIDITIES
READMIT,READMISSION
30D,DID
BOOST,BOOST
ENDED,ENDED
TRANSPLNT,HEMATOLOGIC
ENDOCR,TRANSPLANT
PALLIATIVE,PALLIATIVE
LATITUDE,LATITUDE
LONGITUDE,LONGITUDE
TUNNELED,FOR
H20,VIEWS
SO,W
GLUCAN,GLUCAN
EPSILON, FC
7A,7 ALPHA
NIDUS, NIDUS
UNCLASSIFIED,STRUCTURED
PKG,PRODUCT
MEDGUIDE,STRUCTURED
NACHR,ACETYLCHOLINE
CHD7,CHD7
SALM,SALMONELLA
SHIG,SHIGELLA
NEED,NEED
DIPHENYLHYDRAMINE,DIPHENHYDRAMINE
GALT,GALT
POL,1
RHC,RHC
GG,SIMPLEX
P42,HTLV
RICKET,RICKETTSIA
ADVANCE,ADVANCE
DIRECTIVES,DIRECTIVES
TIGECYCLINE,TIGECYCLINE
57,57
SEROTYPES,PNEUMONIAE
19B,SEROTYPE
Z,Z
ENDORECTAL,ENDORECTAL
ENDOVAGINAL,ENDOVAGINAL
SESAMOIDS,SESAMOID
FRONTAL,VIEWS
WIRE,WIRE
SIT,SITTING
BEND,1
BRACE,STANDING
EXCISIONAL,EXCISIONAL
TRIM,GENERAL
TRANSABDOM,NARRATIVE
SUBMAND,SUBMANDIBULAR
TRACTION,TRACTION
FOSAMPRENAVIR,FOSAMPRENAVIR
TIPRANAVIR,TIPRANAVIR
ENVIRONMENT,FOOD
MERSTH,MERSTH
DELAY,DELAY
PREMATURE,PREMATURE
MERS,MIDDLE
FALL,FALL
ACCIDENT,ACCIDENT
TRANSFUSION,TRANSFUSION
HAZARD,HAZARD
EVNT,EVENT
DSC,DESCRIPTION
CRIME,PHENX
INTNT,INTENTIONAL
HRM,HARM
DISP,DISPENSED
TECHNICAL,TECHNICAL
COMMUNICATION,COMMUNICATION
ARTIFACT,ARTIFACT
STRING,STRING
A6,DEPRECATED
MONOMERIC,MONOMERIC
SALICYLURATE,SALICYLURATE
1P,1P
19Q,19Q
12P,12P
TETRASOMY,TETRASOMY
SLO,METHOD
SLOWM,METHOD
SLOWMYC,METHOD
LAMININ,2
PFGE,PFGE
DEBRIS, DEBRIS
SATFR,HOUR
SUCCINYLADENOSINE,SUCCINYLADENOSINE
MDS,MDS
7Q31,GENE
CEP8,GENE
P210,1;Q11
Q12,Q12
OXRES,OXACILLIN
STAPH,STAPHYLOCOCCUS
OMPC,OMPC
DDU,DIMER
B2GP1,AB
DEP,B2GP1
INDEP,B2GP1
IBD,INFLAMMATORY BOWEL DISEASE
SEROTYPE,SEROTYPE
MDRO,MULTIPLE
AKT1,AKT1
PHOSPHO,GROWTH
ERBB2,ERBB2
ETHNIC,ETHNIC
FGFR1,FGFR1
HER3,HER3
HER4,HER4
MAPK,MITOGEN
RB,RETINOBLASTOMA
MENARCHE, AGE
ECOG,ECOG
PERF,PERFORMED
NOTTI,NOTTINGHAM
MENOPAUSE, CAUSE
LENTE,LENTE
REGULAR,REGULAR
SEMILENTE,SEMILENTE
ULTRALENTE,ULTRALENTE
LEVODOPA,LEVODOPA
SSB,B
PORPHYRIN,PORPHYRIN
PNLL,NICOTINE
ALLOPURINOL,ALLOPURINOL
D25, CALCIDIOL
GLUCOCORTICOID,GLUCOCORTICOID
HB,HEMOGLOBIN
MONOCHLORAMINE, MONOCHLORAMINE
QAC,QUATERNARY AMMONIUM COMPOUND
SILICA, SILICA
DISSOLVED, DISSOLVED
THROMBOPOIETIN,THROMBOPOIETIN
NORSILDENAFIL,NORSILDENAFIL
ISOBUTYRYLCARN,ISOBUTYRYLCARNITINE
PHOX2B,PHOX2B
RAY,RAY
DERIV,DERIVED
FIV1,FIV1
CAPACITY,CAPACITY
METHACHOLINE,METHACHOLINE
025,025
EXCZ,POST
BENZTROPINE,BENZTROPINE
CHAGASI, LEISHMANIA
K39,LEISHMANIA
CEFTOBIPROLE,CEFTOBIPROLE
CD1C,CD1C
GDAP1,GDAP1
YMDD,B
METHYLCROTONYLCARN,METHYLCROTONYLCARNITINE
DRB1, HLA
DQB1, HLA
BUFFER,NEUTRALIZATION
DESMOGLEIN, DESMOGLEIN
FBN2,FBN2
FADV127,AVIAN
APMV6,AVIAN
APMV7,AVIAN
APMV8,AVIAN
APMV9,AVIAN
EHV2,EQUINE
EHV3,EQUINE
FADV1,FOWL
GPV,GOOSE
JMK,BRONCHITIS
PSHV,PSITTACID
UNC13D,UNC13D
BORDETELLA,BORDETELLA
MSI,MICROSATELLITE
PLA1,PLA1
IVS8,GENE
POLYT,P
FIGURE,ASSOCIATED
OFFIC,PARIETARIA
DRB3,DRB3
NEISSERIA,NEISSERIA
BV,BACTERIAL VAGINOSIS
LDL1,LDL
LDL4,LDL
NONHDLC,CHOLESTEROL
MTYP,MORPHOTYPES
JAK2,JAK2
V617F,P
MORPHOTYP,SP
ISSUED,UNITS
REQUESTED,REQUESTED
ESOPH,ESOPHAGUS
HALLS,OBSERVATION
FERUMOXIDES,FERUMOXIDES
90M,SERUM
GUI,PERITONEAL
BIZARRE,BIZARRE
TYMP,TYMP
ISRAELII, ACTINOMYCES
TPA,PLASMINOGEN
AQP4,AQUAPORIN
C18, N
ESSENTIAL,ACID
C12,C14
FORMS,FORMS
STRENGTHS,FORMS
NONCLINICAL,INSERT
PHARMACODYNAMICS,INSERT
PHARMACOKINETICS,INSERT
CHANGES,USUALLY
16A,16
FUSARIUM,FUSARIUM
SHELL,SHELL
VIAL,SHELL
PHENYLHYDANTOIN,PHENYLHYDANTOIN
DICHLOROPHENOL,2
HLD,LIPOPROTEIN
4OHBENZOATE,4
DRVV,DILUTE
COX10,COX10
KCNQ1,KCNQ1
OCA2,OCA2
SCO1,SCO1
SCO2,SCO2
SURF1,SURF1
THROMBECT,VEIN
SUPINE,SUPINE
CTJ,SPINE
SUPKUB,AP
ANG,ARTERIES
BENZATHINE,BENZATHINE
CHLAMYDOPHILA,CHLAMYDOPHILA
BACLOFEN,BACLOFEN
ANABOLIC,ANABOLIC
STEROIDS,STEROIDS
150,150
BOLDENONE,BOLDENONE
CANALICULAR, BILE
NARCOTIC,NARCOTIC
HIGASHI,BORDETELLA
HAMA,PERTUSSIS
YAMAGUCHI,BORDETELLA
CD45RC,CD45RC
ABSORPTION,ABSORPTION
O157,O157
WAYSON,MICROSCOPIC
ABLATION,ABLATION
TC99MMEDRONATE,TC
TC99MBICISATE,TC
PERITNL,FOR
SPC,DRAINAGE
TC99MMERTIATIDE,TC
17ADIOHPREGNANOLONE,BETA
17A,15
PREGNANOLONE, PREGNANOLONE
CIAS1,CIAS1
PKD1,PKD1
PKD2,GENE
IL2RA,2
STORAGE,DUST
CORTOLONE,CORTOLONE
ANNEXIN,ANNEXIN
LUMBRICA,LUMBRICOIDES
LARVA,LARVA
HPV35,HUMAN
HYMENOPTERASE,HYMENOPTERASE
P21,I
ENV,II
P38,I
TAX,II
ALOX3,ALOX3
ALOX12B,ALOX12B
OXIMET,OXIMETRY
OXIME,CAPILLARY
OXIM,CAPILLARY
QUANTITATION,QUANTITATION
CONTAINING,NODES
MATTED,MATTED
PERIPROST,PERIPROSTATIC
EXTRAPROSTATIC,EXTRAPROSTATIC
REAS,REASON
SATELLITE,SATELLITE
NODULE,NODULE
PRESENCE,PRESENCE
HISTO,HISTOLOGIC
MEL,SKIN
TERTIARY,PATTERN
CMSPT,CERVICAL
TUBULE,TUBULE
FORMATION,FORMATION
PLEOMORPH,PLEOMORPHISM
NOTTINGHAM,NOTTINGHAM
25X,25X
40X,40X
BR,BREAST
GRADING,GRADING
SPA,HAMSTER
CORES,CORES
QUANT,MANY
CHIPS,TISSUE
DOM, HAND
CANT,WHEN
INVOLVE,INVOLVEMENT
UNINV,CLOSEST
MARG,MARGIN
DCIS,DCIS
IMIS,INVASIVE
UNINVV,CLOSEST
MICROCALCIFICATIONS,MICROCALCIFICATIONS
CELLANO,CELLANO
INFILTRATING,INFILTRATING
REGRESSION,REGRESSION
INFLAMMATION,INFLAMMATION
LES,LESION
INVOLVEMENT,INVOLVEMENT
ACTA1,ACTA1
CHOLEGLOBIN,CHOLEGLOBIN
BHD,BHD
MC4R,MC4R
NEB,NEBULIZER
ALS4,ALS4
ACTV,ACTIVITY
HOMOCYSTEINE,HOMOCYSTEINE
A29, HLA
B51, HLA
DP2, HLA
DQA1, HLA
C1,C
MELD,MODEL
PORTION,PORTION
ANASTOMOSIS,TRANSPLANT
ATTACHMENT,ATTACHMENT
CLAMP,CLAMP
REMOVED,REMOVED
INTERPOSITION,INTERPOSITION
ISCHEMIC,ISCHEMIC
FAILURE,FAILURE
PRESERVATION,PRESERVATION
MENORRHAGIA,MENORRHAGIA
ASIAN,A
BINDING,C1Q
GNE,GNE
GP21E,HTLV
C22P,C
C1R2,COMPLEMENT
C1S2,C1R2
TERIFLUNOMIDE,TERIFLUNOMIDE
PHOSPHORYLASE,PHOSPHORYLASE
C100P,C
PRELIMINARY,PRELIMINARY
4OHMANDELATE,4
THB,TETRAHYDROCORTICOSTERONE
6A,6 ALPHA
THA,HYDROXYTETRAHYDRO
THS,HYDROXYTETRAHYDRO
IDDM,INSULIN
C3A,COMPLEMENT
HOMOVANILLATE,HOMOVANILLATE
5HIAA,5
CREATININE,CREATININE
C3C,COMPLEMENT
THYMIDINE,THYMIDINE
RXN,REACTION
BARRIERS,BARRIERS
SELF,SELF
MANAGEMENT,MANAGEMENT
NATIONS,LIVING
AUSCVXCYT,AUSTRALIAN
BURGDOR31KD,BURGDORFERI
NPI,NPI
HOMANS,HOMANS
SIGN,SIGN
REFILL, CAPILLARY
DISTENTION,VEIN
IC3B,GG
EDEMA,EDEMA
RHYTHM,RHYTHM
C3PA, DEPRECATED
ACTIVATED,CD16
C4A,COMPLEMENT
VIRULENCE,VIRULENCE
MONCL,CRYOGLOBULIN
CHAFF,CHAFFEENSIS
C5A,COMPLEMENT
C9,COMPLEMENT
GORDONAE,GORDONAE
KANSASII,KANSASII
VSAV,VESICULAR
HIGHLIGHTS,LABEL
DAF,DECAY ACCELERATING FACTOR
EJ, EJ
OJ, OJ
PHEOH,PHENYLALANINE
U2,U2
HERPES,HERPES
GESTATIONIS,GESTATIONIS
NRTI,NUCLEOSIDE
NNRTI,NONNUCLEOSIDE
HG,HERPES GESTATIONIS
NCF,IGG
OXO,OXO
LDS,LYSERGATE
BP180,MEMBRANE
CASR,CASR
P34,2
IC3,COMPLEMENT
CATI, TOXOCARA
DISTRICT,DISTRICT
ENTERED,ENTERED
PRIOR,PRIOR
ENROLLMENT,ENROLLMENT
MEDICALLY,MEDICALLY
ELIGIBLE,ELIGIBLE
WHO,WHO
COHORT,COHORT
PROPH,INFECTIVE
ART,HIV
MAC,MINIMUM ALVEOLAR CONCENTRATION
ADHERENCE,ADHERENCE
MISSING,MISSING
SCHEDULE,SCHEDULE
RESIS,A
CONFIRMATION,CONFIRMATION
MCP,COMPLEMENT
ENTRY,ENTRY
TRANSFERRED,TRANSFERRED
DROPPED,DROPPED
MEMS,TAKEN
FILLS,ACTUAL
IDEAL,IDEAL
COMPLEMENT, DEPRECATED
MISSED,DOSES
YESTERDAY,MISSED
IMMUNODEFICIENCY,IMMUNODEFICIENCY
LMW,IU
RECEPTOR,DEPRECATED
DPYD,DPYD
GLUCURONIDE,GLUCURONIDE
NF2,NF2
BIOCHEM,BIOCHEMICAL
CYANMETHGB,CYANMETHEMOGLOBIN
ENGORGEMENT, TICK
ATTACHED,ATTACHED
ACQUIRED,ACQUIRED
CONDITION,CONDITION
QCK,METHOD
INTERPRETED,INTERPRETED
FILAMENTED,ERYTHROCYTES
125,STIMULATED
XMATCH, PLATELET
PHLEBOTOMY,POST
STIPL,STIPPLING
WINTROBE,WINTROBE
ZSR,ERYTHROCYTE
ZETA,ZETA
SUFFIX,SUFFIX
SECURITY,SECURITY
MEDICARE,MEDICARE
COMPARABLE,COMPARABLE
MEDICAID,MEDICAID
GELATION,DEPRECATED
POSTAL,POSTAL
EUGLOBULIN,CLOT
ADVN,ADVANCE
WILL,WILL
ABRUZ,ABRUZZO
BETHES, HEMOGLOBIN
HARLEM,HARLEM
CHESAP,CHESAPEAKE
CSP,CONSTANT
PUNJAB,PUNJAB
DENVER, HEMOGLOBIN
TEXAS,TEXAS
F1,F1
GEORG,GEORGIA
PHILAD,PHILADELPHIA
HASHAR,HASHARON
HOPE,HOPE
BALT,BALTIMORE
CAPE,HEMOGLOBIN
OXF,OXFORD
KANSAS, HEMOGLOBIN
KEMPSEY,KEMPSEY
KOLN, HEMOGLOBIN
BOSTON,HEMOGLOBIN
HYDE,HEMOGLOBIN
PARK,DURING
IWATE,HEMOGLOBIN
TUBE2,CEREBRAL
TUBE3,CEREBRAL
TUBE4,CEREBRAL
MILW,HEMOGLOBIN
SASK,HEMOGLOBIN
MRN,MEDICAL RECORD NUMBER
18Q,18Q
MALMO,MALMO
SEATTLE,SEATTLE
RANIER, HEMOGLOBIN
ORDERS,ORDERS
TILT,TILT
TABLE,TABLE
INTRACARDIAC,INTRACARDIAC
OVERNIGHT,PERITONEAL
HEPARINASE,BLOOD
ABCA3,ABCA3
SGCA,SGCA
DULOXETINE,DULOXETINE
CLENBUTEROL, CLENBUTEROL
FURAZABOL, FURAZABOL
METHANOLONE, METHANOLONE
ZAP70,ZAP70
HOSPITALIZATIONS,HOSPITALIZATIONS
MEASUREMENTS,MEASUREMENTS
RPOB,RPOB
SPM,MOLECULAR
PNCA,PNCA
PYR,1
KATG,KATG
EMBB,EMBB
ETHAM,EMBB
TAKE,TAKE
HYDROCODOL,FREE
YAKIMA, HEMOGLOBIN
YOSHIZ, HEMOGLOBIN
BDM,BONE
YPSILAN, HEMOGLOBIN
ZURICH,ZURICH
BITEWING,VIEWS
HEMOLYSIN, HEMOLYSIN
LACT,GAS
LACTULOSE,LACTULOSE
DEMOGRAPHIC,DEMOGRAPHIC
EDIT,EDIT
OVRDS,OVERRIDES
SEC,SECTION
PROGNOST,PROGNOSTIC
SUBSEQ,SUBSEQUENT
HOMOLOGOUS,HOMOLOGOUS
RESTRICTION,RESTRICTION
RESIDENCE,WHAT
IL3,INTERLEUKIN
KALLIKREIN, KALLIKREIN
DETECTION,DETECTION
LYMPHOCYT, DEPRECATED
FGF,FIBROBLAST GROWTH FACTOR
THROMBOMODULIN,THROMBOMODULIN
CYP2C9,CYP2C9
HTR2A,HTR2A
HTR2C,HTR2C
MCN,TROUGH
CONTAINER,WHAT
ACIDEMIAS,ACIDEMIAS
FOD,FATTY
GALACTOSEMIAS,GALACTOSEMIAS
HEMOGLOBIN,HEMOGLOBIN
HCY,HOMOCYSTINURIA
IVA,ISOVALERIC
ACIDEMIA,ACIDEMIA
MSUD,MAPLE
ACIDOPATHIES,ACIDOPATHIES
PKU,PHENYLKETONURIA
BIOPT,BIOPTERIN
DEFECTS,DEFECTS
METHYLCROTONIC,METHYLCROTONIC
3MGA,METHYLGLUTACONIC
BKT,HYDROXYBUTYRIC
MCADD,MEDIUM
VLCADD,VERY
LCHADD,LONG
TFP,CHAIN
B35, HLA
CUD,CARNITINE UPTAKE DEFECT
CPT1,CARNITINE
CH,CONGENITAL HYPOTHYROIDISM
CAH,CONGENITAL ADRENAL HYPERPLASIA
BTH,BETA
HEMOGLOBINOPATHIES,HEMOGLOBINOPATHIES
BIOT,BIOTINIDASE
DEFICIENCY,DEFICIENCY
SICKLE,SICKLE
ANEMIA,ANEMIA
CARRIER,CARRIER
TRAIT,TRAIT
LOSS,LOSS
GALK,GALACTOKINASE
GALE,GALACTOSE
MCAD,MEDIUM
SCHADD,SHORT
IBG,ACYL
RCO,WILLEBRAND
SULFHGB, SULFHEMOGLOBIN
THROMBOGLOB, DEPRECATED
VERDOHEMOGLOBIN, DEPRECATED
A19, HLA
A33, HLA
LDL2,LDL
LDL3,LDL
VLDL3C,IDL
A34, HLA
VAGINOSIS,BACTERIAL
ITIS,VAGINOSIS
BER,BER
EP4,EP4
CALRETININ,CALRETININ
A36, HLA
CDX2,CDX2
HMW,HIGH MOLECULAR WEIGHT
DBA44,DBA44
MELAN,MELAN
MYOD1,MYOD1
MYOGENIN,MYOGENIN
NEUROFILAMENT,NEUROFILAMENT
A43, HLA
NKI,NKI
VILLIN,VILLIN
INTERVENTIONAL,INTERVENTIONAL
A66, HLA
PCNA,EXTRACTABLE
A68, HLA
IIA,GP
A69, HLA
A74, HLA
A11, HLA
A23, HLA
REAL,LDL
HOMA,HOMEOSTASIS
VLDL3,CHOLESTEROL
4C,VLDL
VLDL5,CHOLESTEROL
6C,VLDL
HDL4,CHOLESTEROL
5C,HDL
HDL1,CHOLESTEROL
2C,2C C
21RISK,21
UE3,AGE
IVF,VITRO
A25, HLA
STOPPING,STOPPING
A26, HLA
READY,MEDICALLY
EFFECT,EFFECT
SYMPTOM,SYMPTOM
ANTIRETROVIRAL,HIV
PINP,PROCOLLAGEN
A28, HLA
SUBCLASS,IGG
A30, HLA
A31, HLA
A32, HLA
BCS1L,BCS1L
FOSPHENYTOIN,FOSPHENYTOIN
PREGABALIN,PREGABALIN
B41, HLA
B46, HLA
B47, HLA
W4,HLA
B50, HLA
B52, HLA
B53, HLA
B54, HLA
B55, HLA
B56, HLA
B57, HLA
B58, HLA
B59, HLA
B60, HLA
B61, HLA
B62, HLA
B63, HLA
DEOXYTETRONATE, 2
ETHYLHYDRACRYLATE,ETHYLHYDRACRYLATE
ME3OH,METHYL
2ME3,2
OXOBUTYRATE,METHYL
3OH4METHOXYBENZOATE,3
3OHSUBERATE,3
INDOLELACTATE, 3
METHYLADIPATE, 3
4OH3METHOXYPHENYLLACTATE,4
CAPROATE,DEPRECATED
7OH,7
ADENOSYL,ADENOSYL
HYDROLASE,HYDROLASE
ADIPONECTIN,ADIPONECTIN
B64, HLA
ARABITOL, ARABITOL
ACYLTRANSFERASE,ACYLTRANSFERASE
B65, HLA
DIPHOSPHOGLYCERATE,DIPHOSPHOGLYCERATE
PHOSPHATASE,PHOSPHATASE
GALACTITOL,GALACTITOL
GENTISATE,GENTISATE
B67, HLA
MALONDIALDEHYDE, MALONDIALDEHYDE
PRPS,PHOSPHORIBOSYLPYROPHOSPHATE
RIBITOL, RIBITOL
BETAXOLOL,5
ORN, ASPARAGINE
GRF,1
B70, HLA
B71, HLA
B72, HLA
EYA1,EYA1
CNR1,CNR1
DEOXYURIDINE,DEOXYURIDINE
FLT3,FLT3
GLRA1,GLRA1
ACVRL1,ACVRL1
JAG1,JAG1
JAK3,JAK3
MVK,MVK
PENETRANS,PENETRANS
NCF2,NCF2
PINK1,PINK1
B73, HLA
PTEN,PTEN
SGCB,SGCB
SGSH,SGSH
TGFBR1,TGFBR1
TGFBR2,TGFBR2
THRB,THRB
TIZANIDINE,TIZANIDINE
B75, HLA
DISPLAY,DISPLAY
CHROMOSOME,CHROMOSOME
GENOMIC,GENOMIC
ALLELIC,ALLELIC
B76, HLA
GENECHIP,GENECHIP
VARIATION,VARIATION
PANEL,PANEL
INDIVIDUAL,INDIVIDUAL
KIT,KIT
STUDIED, GENE
FORWARD,FORWARD
PRIMER,PRIMER
B77, HLA
ITGA2B,ITGA2B
G15257A,C
SERPINE1,SERPINE1
PKLR,PKLR
RHE,RHE
A317T,P
CALCOFLUOR,MICROSCOPIC
HBOV,HUMAN
FEU,DIMER
B13, HLA
SPHEROCYTES,SPHEROCYTES
SYNTHETIC,SYNTHETIC
EPOXYDECANEDIOATE,3
EPOXYDODECANEDIOATE,3
EPOXYOCTANEDIOATE,3
EPOXYTETRADECANEDIOATE,3
B14, HLA
LACTONE,3
DODECANEDIENEDIOATE, 3
DODECENEDIOATE, 3
TDECADIENEDIOATE, 3
TDECANEDIOATE, 3
TDECENEDIOATE, 3
DIOH,3
HEXANOLACTONE,5
ERYTHRITOL, ERYTHRITOL
B15, HLA
HEPTADECENOATE, HEPTADECENOATE
HEXADECANEDIOATE,HEXADECANEDIOATE
PENTADECANOATE,PENTADECANOATE
QUINOLINATE,QUINOLINATE
B16, HLA
XYLITOL, XYLITOL
OXOVALERATE, 3
ACADESINE,ACADESINE
B17, HLA
OXIDIZED, LDL
MEVALONOLACTONE, MEVALONOLACTONE
PERSEITOL, PERSEITOL
SEDOHEPTITOL, SEDOHEPTITOL
SORBITOL, SORBITOL
THREITOL, THREITOL
THREO, THREO
DHL,4
THYMINE,THYMINE
VANILLATE,VANILLATE
PROS1,PROS1
B18, HLA
INHA,KATG
99,VALUE
95,VALUE
B21, HLA
LR,TRIGGERED
SUNSET,SUNSET
FCF,FCF
CEPHALOSPORIN,CEPHALOSPORIN
HAS,HAS
B37, HLA
B38, HLA
PPL,CLOTTING
MDM,MINOR DETERMINANT MIXTURE
ACETYLSALICYL,ACETYLSALICYLATE
DICLOFENAC,DICLOFENAC
PROPYPHENAZONE,PROPYPHENAZONE
B39, HLA
DIPYRONE,DIPYRONE
ATRACURIUM,ATRACURIUM
MIVACURIUM,MIVACURIUM
PANCURONIUM, PANCURONIUM
ROCURONIUM,ROCURONIUM
SUXAMETHONIUM,SUXAMETHONIUM
VECURONIUM,VECURONIUM
METABISULFITE,METABISULFITE
SALICYLATE,SALICYLATE
TARTRAZINE,TARTRAZINE
COLORANT,COLORANT
CHROMOTROPE,CHROMOTROPE
2B,HDL
COCCINE,COCCINE
ERYTHROSINE,ERYTHROSINE
PATENT,PATENT
INDIGO,INDIGO
BN,BN
B40, HLA
B44, HLA
KAOLIN,TIME
INDUC,ACT
B45, HLA
VNLFXN,VENLAFAXINE
ODV,NORVENLAFAXINE
REBOXETINE,REBOXETINE
AFZELII,AFZELII
VALAISIANA,VALAISIANA
B49, HLA
DIHOMOGAMMALINOLENATE,DIHOMOGAMMALINOLENATE
DOCOSAPENTAENOATE,DOCOSAPENTAENOATE
ISOLATED,ISOLATED
ANGLED,ANGLED
ZOPICLONE,ZOPICLONE
BOVINE1,BOVINE
BOVINE2,BOVINE
INJECTABLE, COLLAGEN
ZYGOMYCETE,ZYGOMYCETE
STAPHYLOLYSIN, STAPHYLOLYSIN
B7,B7
INFECTED,PLASMODIUM
RUMENATE,RUMENATE
LAVENDER,LAVENDER
B8, HLA
CW10, HLA
CW11, HLA
TRACE,TRACE
HEPCIDIN,HEPCIDIN
AMYLOID,AMYLOID
CW1, HLA
IIB,PLATELET
IIIA,GLYCOPROTEIN
CW2, HLA
CW3, HLA
GENOTYPE,GENOTYPE
CW4, HLA
D10,SERUM
D11,SERUM
D21,SERUM
845G,C
187G,C
187C,C
KCNQ1OT1,KCNQ1OT1
100MG,TIME
CW5, HLA
AFTER,AFTER
ADDITION,POOR
WILLEBRAND,WILLEBRAND
BBS2,BBS2
CLCN1,CLCN1
VPS13B,VPS13B
OPA1,OPA1
TGM1,TGM1
CW6, HLA
CW7, HLA
BI,BILATERAL
BLK,1
CW8, HLA
PSEUDOMONAS,PSEUDOMONAS
MART,MART
CODON,PROTEIN
CW9, HLA
YKL, YKL
QUOTIENT,ALBUMIN
IGVH,IGVH
CYTOGENETICIST,CYTOGENETICIST
P57,P57
PAX5,PAX5
MHC,MUSCLE
TRPT,FISH
DW10, HLA
LUTENIZING,LUTENIZING
DW11, HLA
W7,HLA
IMMATURE,IMMATURE
RMV,RETICULOCYTE MEAN VOLUME
DW12, HLA
NCF1,NCF1
CYBB,CYBB
CYBA,CYBA
LINKED,LINKED
HETEROTAXY,HETEROTAXY
SENTINEL,SENTINEL
DW13, HLA
REACTIONS,ADVERSE
ANNOTATION,ANNOTATION
PAYMENT,PAYMENT
SOURCES,SOURCES
DW14, HLA
CONTINUITY,ORIFICE
INDEXING,INSERT
ELEMENTS,ELEMENTS
LISTING,PRODUCT
DW15, HLA
NECROINFLAMMATORY, NECROINFLAMMATORY
FIBROSIS, PLEURAL
FIBR,FIBROSIS
FIBROSURE,C
DW16, HLA
NEURAL,NEURAL
AGGREGATION,AGGREGATION
ASPIRATION,ASPIRATION
LEUKOGRAM,LEUKOGRAM
ERYTHROGRAM,ERYTHROGRAM
FRACTIONS,FRACTIONS
MECA,METHICILLIN
VANA,VANCOMYCIN
PVL,PANTON VALENTINE LEUKOCIDIN
ATL,US
DW17, HLA
SUBTROPICAL,PANEL
GREATER,PANEL
MIDWEST,US
PLAINS,US
GRASSLAND,US
ROCKIES,PANEL
ARID,PANEL
COAST,US
INTERMOUNTAIN,PANEL
INLAND,PANEL
NW,US
CASC,PANEL
PACIF,US
AK,PANEL
BACILLIFORMIS,BACILLIFORMIS
DW18, HLA
VINSONII,VINSONII
BERKHOFFII,BERKHOFFII
AFRICAE,AFRICAE
PARKERI,PARKERI
EWINGII,EWINGII
DW19, HLA
NEORICKETTSIA,NEORICKETTSIA
DW1, HLA
DW20, HLA
NC,PANEL
WV,SC
DW21, HLA
AZ,PANEL
DW22, HLA
DW23, HLA
PKHD1,PKHD1
DCX,DCX
MDCR,MDCR
GPR143,GPR143
POLG,POLG
SGCG,SGCG
CDKL5,CDKL5
TSC1,TSC1
TSC2,TSC2
DW24, HLA
DW25, HLA
PANCREASTATIN,PANCREASTATIN
SCA15,SCA15
EXOENZYME,STREPTOCOCCUS
DW26, HLA
DIFFERENTIAL,DIFFERENTIAL
CD127LOW,CD127LOW
LDL6,LDL
LDL7,LDL
MICRODELETION,MICRODELETION
SYND,SYNDROMES
PAPPA,MATERNAL
SUBTELOMERE,SUBTELOMERE
DW2, HLA
ENDOCVX,OBSERVATION
WEEKS,AGE
NTD,NEURAL TUBE DEFECT
NARR,TUBE
52KD,EXTRACTABLE
FONDAPARINUX,FONDAPARINUX
DW3, HLA
DW4, HLA
INTEGRATED,FIRST
PREDICTORS,SCREEN
SONOGRAPHER,SONOGRAPHER
DW5, HLA
BORNA,BORNA
FLAVIVIRUS,FLAVIVIRUS
MONOSACCHARIDES, MONOSACCHARIDES
SULFATED, MONOSACCHARIDES
INCLUSIONS,INCLUSION
DW6, HLA
MIMI,KINASE
EXCRET,EXCRETION
ELECTRONIC,CENTRAL
DW7, HLA
DW8, HLA
DW9, HLA
DPW1, HLA
DPW2, HLA
DPW3, HLA
DPW4, HLA
DPW5, HLA
DPW6, HLA
DQ5, HLA
DQ6, HLA
DQ7, HLA
SYNUCLEIN,SYNUCLEIN
CATENIN,CATENIN
CALPONIN,CALPONIN
MAMMAGLOBIN,MAMMAGLOBIN
CD123,CD123
CD163,CD163
COX2,CYCLOOXYGENASE
CXCL13,CXCL13
CXCR5,CXCR5
FOXP3,FOXP3
TCL,TCL
1800,RISTOCETIN
DQ9, HLA
ALPHAPINENE, ALPHAPINENE
NATEGLINIDE,NATEGLINIDE
MICROBIOLOGY,INSERT
B2A2,1;Q11
B3A2,1;Q11
E1A1,E1A1
DIHYDRATE,DIHYDRATE
DR10, HLA
CMT1,CMT
MYOC,MYOC
H16,VIRUS
DR11, HLA
DEXTROSE,DEXTROSE
FASTING,PHENX
DR12, HLA
RECOMMENDED,DELIVERY
SENT,SENT
P16INK4A,P16INK4A
PDGFR,PLATELET
HPE,HOLOPROSENCEPHALY
DR13, HLA
DR14, HLA
SATRATOXIN,SATRATOXIN
TRICHOTHECENE,TRICHOTHECENE
NATALIZUMAB, NATALIZUMAB
DR15, HLA
VIBRIO,VIBRIO
BLAKPC,CARBAPENEM
VLDL1,CHOLESTEROL
REMNANT,REMNANT
LIPOPROTEIN,LIPOPROTEIN
DARUNAVIR,DARUNAVIR
DR17, HLA
719A,C
238G,C
460G,C
DR18, HLA
COPY,GENE
DR52, HLA
R503C,P
R549DC,P
R631C,P
DR53, HLA
SH3TC2,SH3TC2
KCNQ2,KCNQ2
HOUSEFLY,HOUSEFLY
DR6, HLA
DR8, HLA
NORBUPRENORPHINE,NORBUPRENORPHINE
DR1, HLA
DR2, HLA
E1A2,1;Q11
DR3, HLA
